"","description","statusesCount","followersCount","favoritesCount","friendsCount","url","name","created","protected","verified","screenName","location","lang","id","listedCount","followRequestSent","profileImageUrl","search_hashtag"
"_andi713","",2081,307,119,626,NA,"Andi",2013-11-22 22:58:44,FALSE,FALSE,"_andi713","H0UST0N","en","2209649088",1,FALSE,"http://pbs.twimg.com/profile_images/669020860276080641/f6CKgXiu_normal.jpg","#Makeamericagreatagain"
"14winter88","❄ Winter-chan cultist ❄",1480,356,1488,184,"https://t.co/H6HhhXB5UL","Винтер-тян культист",2015-05-18 06:21:46,FALSE,FALSE,"14winter88"," The Bureau of Memetic Warfare","en","3218985756",4,FALSE,"http://pbs.twimg.com/profile_images/670491354120634368/0R6EV3pX_normal.jpg","#Makeamericagreatagain"
"1Rackanm1","Rivet Rack, . has  more than 25 years of experience and customer service in the Material Handling Industry. We offer Sales, Permits & Installations",929,47,860,233,"http://t.co/jbbdrVcRZX","RIVET RACK, .",2015-05-03 14:30:52,FALSE,FALSE,"1Rackanm1","Washington, D.C.","en","3184200930",13,FALSE,"http://pbs.twimg.com/profile_images/631961379105308672/ZbJ88IK0_normal.jpg","#Makeamericagreatagain"
"2016trump4prez","MAKE AMERICA GREAT AGAIN! #TRUMP2016",82,7,22,8,NA,"#Trump2016",2015-11-14 16:19:56,FALSE,FALSE,"2016trump4prez","","en","4187498969",0,FALSE,"http://pbs.twimg.com/profile_images/665565943213502464/ml4hVPIM_normal.jpg","#Makeamericagreatagain"
"2F1Marketing","Marketing Firm specializing in social  media, branding, video production, and movie/film . We don't send automated messages either :)",755,24,722,541,NA,"Formula21 Marketing",2015-04-26 05:19:54,FALSE,FALSE,"2F1Marketing","Orange County, California","en","3174910460",12,FALSE,"http://pbs.twimg.com/profile_images/610472251868119040/ZSUCmcbp_normal.jpg","#Makeamericagreatagain"
"4AmericaToday","Devoted to Principles that will Make America Great Again! Sounding a Call for Accountability in Washington!",14780,1346,838,1270,NA,"Stand4America",2015-08-10 23:59:33,FALSE,FALSE,"4AmericaToday","","en","3413870405",34,FALSE,"http://pbs.twimg.com/profile_images/661888032690302976/3EYX9XEM_normal.jpg","#Makeamericagreatagain"
"4presidentsite","",24317,68,0,40,"http://t.co/WeaG2eX4Pd","Running 4 President",2015-08-25 20:08:31,FALSE,FALSE,"4presidentsite","","en","3439724391",37,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_5_normal.png","#Makeamericagreatagain"
"4stevefarmer","",499,27,218,51,NA,"steve farmer",2013-09-17 21:12:09,FALSE,FALSE,"4stevefarmer","","en","1876900698",0,FALSE,"http://abs.twimg.com/sticky/default_profile_images/default_profile_1_normal.png","#Makeamericagreatagain"
"AbbGarver","M&A Advisor, blogging at: http://t.co/SxgCWftdnO , TV Commentator, Online Journalist,  Magazine Contributor and .",992,27,855,556,"http://t.co/sie6NXkHSb","Abe Garver",2014-03-19 06:59:38,FALSE,FALSE,"AbbGarver","Massachusetts","en","2397416503",8,FALSE,"http://pbs.twimg.com/profile_images/609710699795869697/lRRBYaaR_normal.jpg","#Makeamericagreatagain"
"aDnHour42","in Hour 24. Cat enthusiast. Newfoundland. EOS Society @Hour24band // @OrangeAmps @ernieball @taylorguitars",1032,45,881,428,"http://t.co/LnF7uNcHSY","Dan Quigley",2014-06-02 02:02:50,FALSE,FALSE,"aDnHour42","Athens, Georgia","en","2540580734",13,FALSE,"http://pbs.twimg.com/profile_images/612823358397394944/m0AdbFy5_normal.jpg","#Makeamericagreatagain"
"aDniel_Diosdado","#NewYork based  #filmmaker. Working in the development of his  feature @TheLastWarMovie #SupportIndieFilm #SciFi #SciFiFilm",898,60,807,220,"http://t.co/Z4V2sZn3Pf","Daniel ",2015-06-10 22:43:15,FALSE,FALSE,"aDniel_Diosdado","New York/LA/London","en","3318016947",11,FALSE,"http://pbs.twimg.com/profile_images/633878007136960512/6S-FFdpB_normal.jpg","#Makeamericagreatagain"
"AITAOR777","Information exchange for #awakened in this Age of Revealing and for those interested in creating solutions in these transformational times. #news #currentevents",8795,1139,3100,1339,"https://t.co/7vy5lqpdDT","Age of Revealing",2014-10-07 16:57:58,FALSE,FALSE,"AITAOR777","somewhere in Consciousness ","en","2843872435",138,FALSE,"http://pbs.twimg.com/profile_images/583076009479536640/fAKuPkb5_normal.jpg","#Makeamericagreatagain"
